Name,Shortname,Id,Description,Stacksize
Green Roman Candle,firework.romancandle.green,-1306288356,"A small repeating firework, shoots a series of Green balls into the air",20
Grub,grub,-568419968,"A pale, fleshy insect that can be used for bait. Could also be eaten in desperate situations.",20
Gun Powder,gunpowder,-265876753,"Made from Sulfur and Charcoal, a key ingredient of anything that goes bang!",1000
Hab Repair,habrepair,-1759188988,Hab repair,1
Halloween Candy,halloween.candy,-888153050,Some loose halloween candy Collect 10 to upgrade to a Small Loot Bat!,1000
Hammer,hammer,200773292,"A Hammer, used to upgrade building materials. Right-click for the options. You can also pick up deployed objects while the hammer is equipped.",1
Handmade Fishing Rod,fishingrod.handmade,1569882109,Use [attack2] to cast out the line and wait for a bite. Requires bait.,1
Handmade Shell,ammo.handmade.shell,588596902,Shoddy ammo with multiple projectiles.,64
Hatchet,hatchet,-1252059217,"A Hatchet, useful for chopping trees and dismembering corpses.",1
Hazmat Suit,hazmatsuit,1266491000,A hazmat suit made from radiation resistant rubber.,1
HBHF Sensor,electric.hbhfsensor,-1507239837,"A Heartbeat, Breathing, Humidity and Footstep sensor. Passthrough is equal to the number of humans detected in a 10m radius",1
Headset,twitch.headset,-1569700847,Every gamer needs a headset! - Gained from Rust's first Twitch drop event.,1
Heavy Frankenstein Head,frankensteins.monster.03.head,-297099594,"Slightly slower, slightly stronger.Combined at a Frankenstein Table to create your very own monster.",1
Heavy Frankenstein Legs,frankensteins.monster.03.legs,-2024549027,"Slightly slower, slightly stronger.Combined at a Frankenstein Table to create your very own monster.",1
Heavy Frankenstein Torso,frankensteins.monster.03.torso,1614528785,"Slightly slower, slightly stronger.Combined at a Frankenstein Table to create your very own monster.",1
Heavy Plate Helmet,heavy.plate.helmet,1181207482,Offers superior protection at the cost of reduced vision and movement speed.,1
Heavy Plate Jacket,heavy.plate.jacket,-1102429027,Offers superior protection at the cost of aiming down sights and reduced movement speed.,1
Heavy Plate Pants,heavy.plate.pants,-1778159885,Offers superior protection at the cost of reduced movement speed.,1
Heavy Scientist Suit,scientistsuit_heavy,-1772746857,A heavy hazmat suit made from radiation resistant rubber.,1
Hemp Clone,clone.hemp,-886280491,A clipping of a hemp plant.,50
Hemp Seed,seed.hemp,-237809779,"Hemp seeds can be found when picking wild Hemp. These seeds can be planted in the ground and grown to collect additional cloth. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more cloth and faster groth.",50
Herring,fish.herring,-1698937385,A small fish commonly found in a variety of water sources.,10
Hide Boots,attire.hide.boots,794356786,Boots made from the hide of an animal.,1
Hide Halterneck,attire.hide.helterneck,3222790,A Halterneck made from the hide of an animal.,1
Hide Pants,attire.hide.pants,1722154847,Trousers made from the hide of an animal.,1
Hide Poncho,attire.hide.poncho,980333378,A Poncho made from the hide of an animal.,1
Hide Skirt,attire.hide.skirt,-1773144852,A Skirt made from the hide of an animal.,1
Hide Vest,attire.hide.vest,196700171,A Vest made from the hide of an animal.,1
High External Stone Gate,gates.external.high.stone,-691113464,"A high stone gate, allowing access in and out of your compound.",1
High External Stone Wall,wall.external.high.stone,-967648160,A high stone wall used to keep people off your property.,10
High External Wooden Gate,gates.external.high.wood,-335089230,"A high wooden gate, allowing access in and out of your compound.",1
High External Wooden Wall,wall.external.high,99588025,A high wooden wall used to keep people off your property.,10
High Ice Wall,wall.external.high.ice,-985781766,A very high ice wall to protect your property.,10
High Quality Carburetor,carburetor3,656371026,A high quality carburetor for a combustion engine. Mixes air and fuel to the proper ratio.,5
High Quality Crankshaft,crankshaft3,1158340332,A high quality crankshaft for a combustion engine. Converts piston movement into rotational motion.,5
High Quality Horse Shoes,horse.shoes.advanced,1989785143,Equipping these horse shoes will grant your horse additional movement speed,1
High Quality Metal,metal.refined,317398316,High quality metal suitable for armor and weapons construction.,100
High Quality Metal Ore,hq.metal.ore,-1982036270,A rock containing High Quality Metal. Can be smelted in a furnace.,100
High Quality Pistons,piston3,1883981800,High quality pistons for a combustion engine. Pistons convert expanding combustion gases into the motion that turns a crankshaft.,10
High Quality Spark Plugs,sparkplug3,1072924620,High quality spark plugs for a combustion engine. Spark plugs ignite the fuel/air mixture to move the pistons.,20
High Quality Valves,valve3,-1802083073,High quality poppet valves for a combustion engine. Valves control the intake and exhaust flow.,15
High Velocity Arrow,arrow.hv,-1023065463,"Lighter, faster arrow that deals less damage.",64
High Velocity Rocket,ammo.rocket.hv,-1841918730,"Fast moving rocket ammunition. Short to medium range self-propelled, unguided rocket which deals large splash damage on impact but less damage than a normal rocket.",3
Hitch & Trough,hitchtroughcombo,1160881421,A Hitching post and Trough. Dismounting your horses here will keep them healthy and fed as long as it is kept stocked with food.,1
HMLMG,hmlmg,-1214542497,"A hand made belt-fed light machine gun with high damage, high rate of fire, low accuracy during short bursts.",1
Hobo Barrel,hobobarrel,-1442559428,A vagabond staple. Use this repurposed oil barrel to stay warm.,1
Hockey Mask,metal.facemask.hockey,-1334569149,A protective facemask which provides the user with excellent head protection from all forms of attacks.,1
Holosight,weapon.mod.holosight,442289265,Uses laser projection to create a holographic sight which is always pointing at the target regardless of view angle.,1
Homemade Landmine,trap.landmine,-1663759755,"Homemade Landmine. If you stand on one, you can ask a friend to disarm it before it explodes.",5
Hoodie,hoodie,1751045826,A hoodie.,1
Horse Dung,horsedung,-1579932985,Fresh and fertile.,100
Horse Saddle,horse.saddle,-1997543660,"Having this item allows you to claim a horse in a stable by holding E and selecting the ""Claim"" option",1
Hose Tool,hosetool,363163265,"A tool used to make fluid connections between objects. Aim at an object and click on an input/output handle, then click on another object's input/output handle to form a connection.",1
Huge Wooden Sign,sign.wooden.huge,-143132326,A 6-meter by 3-meter wooden sign that you can write on.,1
Human Skull,skull.human,996293980,A human skull.,1
Hunting Bow,bow.hunting,1443579727,"Hunting Bow, useful for short to medium range combat and hunting.",1
HV 5.56 Rifle Ammo,ammo.rifle.hv,1712070256,"This ammunition travels faster, resulting in less drop and slightly higher damage when fired over long distances.",128
HV Pistol Ammo,ammo.pistol.hv,-1691396643,"This ammunition travels faster, resulting in less drop and slightly higher damage when fired over long distances.",128
Ice Metal Chest Plate,metal.plate.torso.icevest,-1478855279,"A metal plate covering your torso, provides excellent protection from all forms of attacks.",1
Ice Metal Facemask,metal.facemask.icemask,110116923,A protective facemask which provides the user with excellent head protection from all forms of attacks.,1
Ice Throne,chair.icethrone,-1944704288,Every home needs a chair. A decorative item which provides comfort while seated.,5
Igniter,electric.igniter,-44876289,Ignites nearby objects such as furnaces and campfires when power is received,3
Improvised Balaclava,mask.balaclava,-2012470695,A home made balaclava.,1
Incendiary 5.56 Rifle Ammo,ammo.rifle.incendiary,605467368,Slower moving ammunition that deals fire damage. There's a small chance it will start a fire.,128
Incendiary Pistol Bullet,ammo.pistol.fire,51984655,Slower moving ammunition that deals fire damage. There's a small chance it will start a fire.,128
Incendiary Rocket,ammo.rocket.fire,1638322904,Creates flames upon impact.,3
Industrial Combiner,industrial.combiner,1538126328,Combines three separate industrial connections into one connection.,5
Industrial Conveyor,industrial.conveyor,610102428,Moves an item from one container to another.,5
Industrial Crafter,industrial.crafter,1430085198,Attaches to a workbench to allow automated crafting.,5
Industrial Door,door.hinged.industrial.a,818733919,"Medium strength door, vulnerable to explosives.",1
Industrial Splitter,industrial.splitter,742745918,Splits an industrial connection into three separate connections.,5
Industrial Wall Light,industrial.wall.light,1623701499,A small light source.,10
Inner Tube,innertube,-697981032,An inflated tube for aquatic activities.,1
Inner Tube,innertube.horse,185586769,An inflated tube for aquatic activities.,1
Inner Tube,innertube.unicorn,2052270186,An inflated tube for aquatic activities.,1
Instant Camera,tool.instant_camera,-2001260025,"An instant camera. Take photos with primary fire, zoom in and out with secondary fire, and change focus mode with reload.",1
Jack O Lantern Angry,jackolantern.angry,1242482355,A Lantern. Place it where you need light.,1
Jack O Lantern Happy,jackolantern.happy,-1824943010,A Lantern. Place it where you need light.,1
Jacket,jacket,-1163532624,A rugged jacket.,1
Jackhammer,jackhammer,1488979457,A Pneumatic Jackhammer to blast through ore nodes. The sheer power of this device requires no aiming as all weak spots will be instantly destroyed. Works well on human flesh. Can be refilled at a Workbench.,1
Jerry Can Guitar,fun.jerrycanguitar,-979951147,Take advantage of the unique acoustics of the Jerry Can Guitar to play some rustic tunes.,1
Jumpsuit,jumpsuit.suit,-97459906,A Jumpsuit,1
Junkyard Drum Kit,drumkit,-1330640246,"An array of pots, pans and buckets that passes as a serviceable Drum Kit. Three cymbals, some Tom Drums and a Kick Drum means you can easily lay down a beat.",1
Kayak,kayak,190184021,An improvised wooden kayak. Seats two and requires a Paddle to operate.,1
Key Lock,lock.key,-850982208,"Place on a door to avoid any unwelcome guests. To craft your key first place the lock on a door and hold E while looking at the Key lock and select 'Create Key', a key will now be added to your crafting queue.If the key is lost, you cannot make another, so don't forget to make extras and put them in a safe place!",10
L96 Rifle,rifle.l96,-778367295,"A military grade high powered, long range rifle with great accuracy.",1
Ladder Hatch,floor.ladder.hatch,1948067030,A hatch that opens and changes into a ladder.,1
Landscape Photo Frame,photoframe.landscape,1697996440,A landscape oriented canvas for artists paintings.,1
Landscape Picture Frame,sign.pictureframe.landscape,-845557339,A landscape oriented canvas for artists paintings.,5
Lantern,lantern,1658229558,"A Lantern. Place it where you need light, requires low grade fuel to work.",1
Large Animated Neon Sign,sign.neon.xl.animated,1643667218,"A large, animated neon sign!",5
Large Banner Hanging,sign.hanging.banner.large,23352662,A large banner hanging on a wall.,5
Large Banner on pole,sign.pole.banner.large,2070189026,A large banner hanging on a pole.,5
Large Candle Set,largecandles,-489848205,Large Candles,1
Large Chassis,vehicle.chassis.4mod,-44066790,Four-socket vehicle chassis.,1
Large Flatbed Vehicle Module,vehicle.2mod.flatbed,-1693832478,Dual module large flatbed.,1
Large Furnace,furnace.large,-1992717673,"Used to smelt large quantities of ore. Difficult to secure, must be placed on terrain.",1
Large Loot Bag,halloween.lootbag.large,479292118,A massive haul. Contains the best halloween loot,10
Large Medkit,largemedkit,254522515,A large medkit.,1
Large Neon Sign,sign.neon.xl,866332017,A large neon sign!,1
Large Photo Frame,photoframe.large,1205084994,A large frame for your photos.,1
Large Planter Box,planter.large,1581210395,A large planter with enough room to plant 9 seeds.,10
Large Present,xmas.present.large,-1622660759,"A Large Present, the best there is. Unwrap it now!",1
Large Rechargeable Battery,electric.battery.rechargable.large,553270375,"A Large Rechargeable Battery. Must have a minimum charge of 5 seconds to discharge. Can be wired in series. Charging rate is dependant on power in, with a maximum of 80% efficiency.",1
Large Solar Panel,electric.solarpanel.large,2090395347,A solar panel which converts sunlight into energy. The amount of energy generated is dependent on the sun's intensity and angle to the panel.,3
Large Water Catcher,water.catcher.large,-1100168350,"Collects drinkable water from the air via rain and dew. Can be connected to other entities to provide water, 20ml a second.",1
Large Wood Box,box.wooden.large,833533164,Keep your things in this wooden storage box. Stores up to 48 items.,1
Large Wooden Sign,sign.wooden.large,1153652756,A 3-meter by 1.5-meter wooden sign that you can write on.,1
Laser Detector,electric.laserdetector,-798293154,A gate which allows power to flow while a player is in the beam,5
Laser Light,laserlight,853471967,A small device that shoots out visible lasers in time to music.,5
Leather,leather,1381010055,Leather from an animal. Used in many clothing items and more.,1000
Leather Gloves,burlap.gloves,1366282552,"Gloves made out of leather, offers a small amount of protection to the upper body.",1
Light Frankenstein Head,frankensteins.monster.01.head,-134959124,"Slightly faster, slightly weaker.Combined at a Frankenstein Table to create your very own monster.",1
Light Frankenstein Legs,frankensteins.monster.01.legs,106959911,"Slightly faster, slightly weaker.Combined at a Frankenstein Table to create your very own monster.",1
Light Frankenstein Torso,frankensteins.monster.01.torso,-1624770297,"Slightly faster, slightly weaker.Combined at a Frankenstein Table to create your very own monster.",1
Locker,locker,-110921842,A locker for keeping your clothes and armor safe!,1
Locomotive,locomotive,-2027988285,A powerful locomotive.,1
Longsleeve T-Shirt,tshirt.long,935692442,A t-shirt with long sleeves.,1
Longsword,longsword,-1469578201,A powerful 2-handed melee weapon with good range and high damage.,1
Low Grade Fuel,lowgradefuel,-946369541,"Low Grade Fuel, used to power light sources.",500
Low Quality Carburetor,carburetor1,656371028,A low quality carburetor for a combustion engine. Mixes air and fuel to the proper ratio.,5
Low Quality Crankshaft,crankshaft1,1158340334,A low quality crankshaft for a combustion engine. Converts piston movement into rotational motion.,5
Low Quality Pistons,piston1,1883981798,Low quality pistons for a combustion engine. Pistons convert expanding combustion gases into the motion that turns a crankshaft.,10
Low Quality Spark Plugs,sparkplug1,-89874794,Low quality spark plugs for a combustion engine. Spark plugs ignite the fuel/air mixture to move the pistons.,20
Low Quality Valves,valve1,1330084809,Low quality poppet valves for a combustion engine. Valves control the intake and exhaust flow.,15
LR-300 Assault Rifle,rifle.lr300,-1812555177,Stalk your enemies with this high powered light assault rifle.,1
Lumberjack Hoodie,lumberjack hoodie,-763071910,A Lumberjack Hoodie,1
Lumberjack Suit,hazmatsuit.lumberjack,861513346,A Lumberjack Suit,1
M249,lmg.m249,-2069578888,"High damage, high rate of fire, belt fed light machine gun.",1
M39 Rifle,rifle.m39,28201841,Military grade semi auto rifle,1
M92 Pistol,pistol.m92,-852563019,A semi-automatic Pistol. Fires rapidly and with good accuracy. Military Grade,1
Mace,mace,-1966748496,"A powerful 2-handed melee weapon, It's unique design makes it easier to hit your target when compared to other more traditional weapons.",1
Machete,machete,-1137865085,A brutal weapon with good range.,1
Mail Box,mailbox,-586784898,A Mailbox that accepts notes. Only you can access the mail due to a one way slit.,1
MC repair,minihelicopter.repair,1426574435,MC repair dummy,1
Medical Syringe,syringe.medical,1079279582,"Heal yourself or others with this syringe. Left-click heals you, right-click heals a target.",2
Medium Animated Neon Sign,sign.neon.125x215.animated,42535890,An animated neon sign!,1
Medium Chassis,vehicle.chassis.3mod,-44066823,Three-socket vehicle chassis.,1
Medium Frankenstein Head,frankensteins.monster.02.head,-1732475823,A balanced head.Combined at a Frankenstein Table to create your very own monster.,1
Medium Frankenstein Legs,frankensteins.monster.02.legs,835042040,A balanced set of legs.Combined at a Frankenstein Table to create your very own monster.,1
Medium Frankenstein Torso,frankensteins.monster.02.torso,1491753484,A balanced torso.Combined at a Frankenstein Table to create your very own monster.,1
Medium Loot Bag,halloween.lootbag.medium,1899610628,"Contains medium level loot, Collect 10 to upgrade to a Large loot bag, containing the best loot",10
Medium Neon Sign,sign.neon.125x215,-1423304443,A medium neon sign!,5
Medium Present,xmas.present.medium,756517185,"A medium present, might be good! Collect 5 to upgrade to a larger present.",5
Medium Quality Carburetor,carburetor2,656371027,A medium quality carburetor for a combustion engine. Mixes air and fuel to the proper ratio.,5
Medium Quality Crankshaft,crankshaft2,1158340331,A medium quality crankshaft for a combustion engine. Converts piston movement into rotational motion.,5
Medium Quality Pistons,piston2,1883981801,Medium quality pistons for a combustion engine. Pistons convert expanding combustion gases into the motion that turns a crankshaft.,10
Medium Quality Spark Plugs,sparkplug2,-493159321,Medium quality spark plugs for a combustion engine. Spark plugs ignite the fuel/air mixture to move the pistons.,20
Medium Quality Valves,valve2,926800282,Medium quality poppet valves for a combustion engine. Valves control the intake and exhaust flow.,15
Medium Rechargeable Battery,electric.battery.rechargable.medium,2023888403,"A Medium Rechargable Battery. Must have a minimum charge of 5 seconds to discharge. Can be wired in series. Charging rate is dependant on power in, with a maximum of 80% efficiency.",1
Medium Wooden Sign,sign.wooden.medium,-1819233322,A 2-meter by 1-meter wooden sign that you can write on.,1
Megaphone,megaphone,-583379016,A megaphone that lets you broadcast your voice. [attack] to activate your voice.,1
Memory Cell,electrical.memorycell,-746647361,"A 1 bit storage component. SET input will set the value to 1 CLEAR input sets the value to 0. Output will provide connected power if value is 1, Inverted output will provide connected power if value is 0. This is also known as a D-Type Flip Flop",5
Metal Barricade,barricade.metal,1655650836,"A tough metal barricade with barbed wire, made from Metal Fragments. The barbed wire causes damage and will also slow player movement.",10
Metal Blade,metalblade,1882709339,A Metal Blade for making melee weapons.,20
Metal Chest Plate,metal.plate.torso,1110385766,"A metal plate covering your torso, provides excellent protection from all forms of attacks.",1
Metal Facemask,metal.facemask,-194953424,A protective facemask which provides the user with excellent head protection from all forms of attacks.,1
Metal Fragments,metal.fragments,69511070,"Metal Fragments. Smelted from Metal Ore, used in lots of different crafting recipes.",1000
Metal horizontal embrasure,shutter.metal.embrasure.a,-1199897169,Static shutter that forms a metal horizontal embrasure over your window frame.,20
Metal Ore,metal.ore,-4031221,A naturally occurring rock containing metal and metal compounds. You can extract this metal using a furnace.,1000
Metal Pipe,metalpipe,95950017,Metal Pipe.,20
Metal Shop Front,wall.frame.shopfront.metal,-148229307,A bulletproof shop front for secure trades.,1
Metal Spring,metalspring,-1021495308,A metal spring. Used to provide motion or resistance in objects.,20
Metal Vertical embrasure,shutter.metal.embrasure.b,-1199897172,Static shutter that forms a metal vertical embrasure over your window frame.,20
Metal Window Bars,wall.window.bars.metal,-819720157,Metal window bars made to fit a normal sized window.,10
Microphone Stand,microphonestand,39600618,A powered microphone that lets you broadcast your voice. Press [+reload] to change voice mode between high and low pitch.,5
Miners Hat,hat.miner,-1539025626,A leather cap with a flashlight attached. It uses Low Grade Fuel and can be activated from the inventory.,1
Mining Quarry,mining.quarry,1052926200,Extracts minerals from the ground. Use a Survey Charge to determine the amount of minerals available for extraction in any given area.,1
Minnows,fish.minnows,-542577259,A Small group of edible fish.,10
Mixing Table,mixingtable,1259919256,Used for mixing recipes.,1
MLRS,mlrs,-1449152644,M270 Multiple Launch Rocket System,1
MLRS Aiming Module,aiming.module.mlrs,343045591,An aiming system computer module for an MLRS vehicle.,1
MLRS Rocket,ammo.rocket.mlrs,-1843426638,A rocket intended for use in an MLRS (Multiple Launch Rocket System).,6
Mobile Phone,mobilephone,-20045316,A mobile phone that lets you place calls from anywhere. Truly cutting edge Cobalt technology. Use [attack] to access the dialler.,1
Modular Car Lift,modularcarlift,1696050067,This allows you to modify modular vehicles,1
Molotov Cocktail,grenade.molotov,1556365900,An incendiary device,5
Movember Moustache,movembermoustache,-2047081330,A magnificent moustache for Movember,1
MP5A4,smg.mp5,1318558775,A medium damage machine gun.,1
Multiple Grenade Launcher,multiplegrenadelauncher,-1123473824,"A 40MM six barrel, semi automatic grenade launcher",1
Mummy Suit,halloween.mummysuit,277730763,A mummy suit,1
Mushroom,mushroom,-1962971928,"A Mushroom found on the ground. Eating it provides a small boost to health, hunger, and thirst.",10
Muzzle Boost,weapon.mod.muzzleboost,-1405508498,"Increases weapon fire rate by channeling gasses back into the weapon cycling it faster, at the cost of bullet velocity and accuracy.",1
Muzzle Brake,weapon.mod.muzzlebrake,1478091698,Lowers recoil felt by the operator but can make bullet path more unpredictable and dealing slightly less damage to your foes.,1
Nailgun,pistol.nailgun,1953903201,A construction tool turned deadly,1
Nailgun Nails,ammo.nailgun.nails,-2097376851,Standard nailgun ammunition,64
Nest Hat,attire.nesthat,1081315464,An extremely silly easter nest hat with googly eyes.,1
Netting,wall.frame.netting,1516985844,Netting you can climb.,5
New Year Gong,newyeargong,-961457160,Ring in the Lunar new year with a massive gong!,1
Night Vision Goggles,nightvisiongoggles,-1518883088,Enables vision at nighttime by projecting and amplifying infrared light.The batteries can be recharged at a Lvl 2 workbench. Cannot be worn with a helmet.,1
Ninja Suit,attire.ninja.suit,-1506417026,BaboAbe Ninja Suit,1
Nomad Suit,hazmatsuit.nomadsuit,491263800,A nomad suit.,1
Note,note,1414245162,A scrap of paper for leaving notes.,1
NVGM Scientist Suit,hazmatsuit_scientist_nvgm,86840834,A hazmat suit made from radiation resistant rubber.,1
One Sided Town Sign Post,sign.post.town,-1832422579,"A one sided town sign post, that you can plant into terrain.",5
OR Switch,electric.orswitch,-1286302544,"A logic gate that allows electrical passthrough if EITHER input receives power, passthrough amount is the greater of either power source",5
Orange Boomer,firework.boomer.orange,-7270019,A very large mortar type firework with an orange starburst,20
Orange ID Tag,orangeidtag,-282193997,Orange ID Tag,5000
Orange Roughy,fish.orangeroughy,-1904821376,"A rare fish found in the depths of the ocean. Eats everything, so you never know what you'll find in it's stomach.",5
Ox Mask,hat.oxmask,1315082560,An Ox mask to celebrate the 2021 Lunar New Year.,1
Paddle,paddle,1491189398,A versatile melee weapon that can also be used to paddle a kayak.,1
Paddling Pool,paddlingpool,-733625651,A small inflatable pool that you can fill up with water.,1
Painted Egg,easter.paintedeggs,-126305173,Some simple painted eggs. Collect 10 to upgrade to a bronze egg,1000
Pan Flute,fun.flute,-2040817543,A set of repurposed PVC pipes that can be used to play a variety of melodies.,1
Pants,pants,237239288,Pants.,1
Paper,paper,-1779183908,"Paper, a ingredient for Building plan and Note.",1000
Paper Map,map,696029452,Helps you figure out where you are. You can annotate the map by right-clicking and drawing on it. Drag the map into your belt bar to make it active. You will then be able to view the map by holding down the map button (G by default).,1
Party Hat,partyhat,-575744869,A very stupid looking party hat,1
Passenger Vehicle Module,vehicle.2mod.passengers,895374329,Dual module seating.,1
Pattern Boomer,firework.boomer.pattern,-379734527,A special boomer which allows you light up the night sky with a custom pattern that you draw. Multiple colors and altitude settings are available.,20
Photograph,photo,62577426,A photograph taken with an instant camera.,1
Pickaxe,pickaxe,-1302129395,"A Pickaxe, useful for gathering ore from rocks.",1
Pickles,jar.pickle,286193827,"Cucumbers in a vinegar bath, jarred by an amateur. Eat at your own risk.",10
Pink ID Tag,pinkidtag,180752235,Pink ID Tag,5000
Pipe Tool,pipetool,-144513264,Now you're thinking with pipes!,1
Pistol Bullet,ammo.pistol,785728077,Ammunition for a Pistol. Loses velocity when fired over long distances resulting in slightly decreased damage.,128
Pitchfork,pitchfork,1090916276,A 3 pronged pitchfork. Extremely easy to hit targets with.,1
Plant Fiber,plantfiber,-804769727,Fiber from dead plants. Can be composted.,1000
Plumber's Trumpet,fun.trumpet,273172220,Toot your own horn with this brassy improvised Trumpet.,1
Pookie Bear,pookie.bear,-1651220691,A companion that reminds you of your youth.,1
Portable Boom Box,fun.boomboxportable,576509618,A portable Boom Box that can play tapes and internet audio streams. [attack] to start/stop and [attack2] to modify settings.,1
Portrait Photo Frame,photoframe.portrait,1729712564,A portrait oriented canvas for artists paintings.,1
Portrait Picture Frame,sign.pictureframe.portrait,-1370759135,A portrait oriented canvas for artists paintings.,5
Potato,potato,-2086926071,Potato.,20
Potato Clone,clone.potato,1512054436,A Clipping of a Potato Plant.,50
Potato Seed,seed.potato,-2084071424,"These potato seeds can be planted in the ground and grown to collect additional food. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more Corn and faster groth.",50
Powered Water Purifier,powered.water.purifier,-365097295,A device that converts salt water to fresh water while powered.,1
Pressure Pad,electric.pressurepad,-2049214035,A gate which allows power to flow while a player is standing on it,1
Prison Cell Gate,wall.frame.cell.gate,-956706906,A prison cell gate to lock things behind bars,1
Prison Cell Wall,wall.frame.cell,-1429456799,A prison cell wall.,10
Prototype 17,pistol.prototype17,1914691295,A burst fire prototype pistol,1
Prototype Hatchet,lumberjack.hatchet,-399173933,"A prototype field hatchet, useful for gathering wood",1
Prototype Pickaxe,lumberjack.pickaxe,236677901,A prototype field pickaxe. Useful for gathering ore from rocks.,1
PTZ CCTV Camera,ptz.cctv.camera,140006625,"A CCTV Camera system can be used for realtime surveillance and security when paired with the Computer Station. This camera has pan, tilt, and zoom capability.",5
Pump Jack,mining.pumpjack,-1130709577,Extracts oil from the ground. Use a Survey Charge to determine the amount of oil available for extraction in any given area.,1
Pump Shotgun,shotgun.pump,795371088,A Shotgun. Fires six rounds.,1
Pumpkin,pumpkin,-567909622,"An edible vegetable that can also be worn as a hat. Eating it provides a small boost to health, hunger, and thirst.",20
Pumpkin Bucket,pumpkinbasket,1346158228,A pumpkin basket to help you collect candy much faster during Trick or Treat events with left click. Use right click to throw candy,1
Pumpkin Plant Clone,clone.pumpkin,1898094925,A Clipping of a pumpkin plant.,50
Pumpkin Seed,seed.pumpkin,-1511285251,"Pumpkin Seeds can be found when picking wild Pumpkin plants. These seeds can be planted in the ground and grown to collect additional food. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more Pumpkins and faster groth.",50
Pure Anti-Rad Tea,radiationresisttea.pure,-33009419,A tea that reduces the amount of health lost due to radiation.,10
Pure Healing Tea,healingtea.pure,-1677315902,A tea that restores health over time.,10
Pure Max Health Tea,maxhealthtea.pure,1712261904,A tea that increases your maximum health.,10
Pure Ore Tea,oretea.pure,1729374708,A tea that increases the amount of ore you receive.,10
Pure Rad. Removal Tea,radiationremovetea.pure,1905387657,A tea that removes some radiation.,10
Pure Scrap Tea,scraptea.pure,2024467711,A tea that increases the amount of scrap you receive from barrels.,10
Pure Wood Tea,woodtea.pure,-557539629,A tea that increases the amount of wood you receive from trees.,10
Purple ID Tag,purpleidtag,-1386082991,Purple ID Tag,5000
Purple Sunglasses,twitchsunglasses,20489901,Sunglasses - Gained from Rust's first Twitch drop event.,1
Python Revolver,pistol.python,1373971859,A High Powered six-shooter.,1
Rabbit Mask,hat.rabbitmask,-986782031,A Beautifully crafted Rabbit mask to celebrate the 2023 Lunar New Year,1
Rad. Removal Tea,radiationremovetea,-496584751,A tea that removes some radiation.,10
RAND Switch,electric.random.switch,492357192,This switch will allow passthrough based on a random number. Each time the SET input receives power it will roll true or false to allow passthrough,5
Rat Mask,hat.ratmask,271048478,A Beautifully crafted bronze and gold Rat mask to celebrate the 2020 Lunar New Year,1
Raw Bear Meat,bearmeat,-1520560807,"Raw Bear Meat. Eating it will damage your health, try cooking it first.",20
Raw Chicken Breast,chicken.raw,-1440987069,"Raw chicken breast. Eating it will damage your health, try cooking it first.",20
Raw Deer Meat,deermeat.raw,1422530437,"Raw Deer Meat. Eating it will damage your health, try cooking it first.",20
Raw Fish,fish.raw,989925924,Raw Fish.,20
Raw Horse Meat,horsemeat.raw,-1130350864,"Raw Horse Meat. Eating it will damage your health, try cooking it first.",20
Raw Human Meat,humanmeat.raw,-1709878924,Raw human meat. Consuming will damage your health.,20
Raw Pork,meat.boar,621915341,"Raw pork. Eating it will damage your health, try cooking it first.",20
Raw Wolf Meat,wolfmeat.raw,-395377963,"Raw Wolf Meat. Eating it will damage your health, try cooking it first.",20
Reactive Target,target.reactive,-1736356576,"A reactive target that knocks down when hit, can be reset.",1
Rear Seats Vehicle Module,vehicle.1mod.rear.seats,1376065505,Single module seating for two passengers.,1
